round,client_id,bytes_received,num_samples,round_duration_sec,timestamp
0,client1,263,22400,54.211,2026-02-24 01:46:02
0,client2,263,22400,54.211,2026-02-24 01:46:17
0,client3,263,22312,54.211,2026-02-24 01:46:27
0,client4,263,22400,54.211,2026-02-24 01:46:38
0,client5,263,22400,54.211,2026-02-24 01:46:47
0,client6,263,19600,54.211,2026-02-24 01:46:56
1,client1,263,22400,0.938,2026-02-24 01:46:57
1,client2,263,22400,0.938,2026-02-24 01:46:57
1,client5,263,22400,0.938,2026-02-24 01:46:57
1,client3,263,22312,0.938,2026-02-24 01:46:57
1,client6,263,19600,0.938,2026-02-24 01:46:58
1,client4,263,22400,0.938,2026-02-24 01:46:58
2,client1,263,22400,1.008,2026-02-24 01:46:58
2,client2,263,22400,1.008,2026-02-24 01:46:58
2,client5,263,22400,1.008,2026-02-24 01:46:59
2,client3,263,22312,1.008,2026-02-24 01:46:59
2,client6,263,19600,1.008,2026-02-24 01:46:59
2,client4,263,22400,1.008,2026-02-24 01:46:59
3,client5,263,22400,0.505,2026-02-24 01:47:00
3,client3,263,22312,0.505,2026-02-24 01:47:01
3,client6,263,19600,0.505,2026-02-24 01:47:01
3,client1,263,22400,0.505,2026-02-24 01:47:01
3,client2,263,22400,0.505,2026-02-24 01:47:01
3,client4,263,22400,0.505,2026-02-24 01:47:01
4,client5,263,22400,0.613,2026-02-24 01:47:02
4,client3,263,22312,0.613,2026-02-24 01:47:02
4,client6,263,19600,0.613,2026-02-24 01:47:02
4,client1,263,22400,0.613,2026-02-24 01:47:02
4,client2,263,22400,0.613,2026-02-24 01:47:02
4,client4,263,22400,0.613,2026-02-24 01:47:02
5,client5,263,22400,0.726,2026-02-24 01:47:03
5,client3,263,22312,0.726,2026-02-24 01:47:03
5,client6,263,19600,0.726,2026-02-24 01:47:04
5,client1,263,22400,0.726,2026-02-24 01:47:04
5,client2,263,22400,0.726,2026-02-24 01:47:04
5,client4,263,22400,0.726,2026-02-24 01:47:04
6,client5,263,22400,0.841,2026-02-24 01:47:05
6,client3,263,22312,0.841,2026-02-24 01:47:05
6,client1,263,22400,0.841,2026-02-24 01:47:05
6,client6,263,19600,0.841,2026-02-24 01:47:05
6,client2,263,22400,0.841,2026-02-24 01:47:05
6,client4,263,22400,0.841,2026-02-24 01:47:06
7,client5,263,22400,0.941,2026-02-24 01:47:06
7,client3,263,22312,0.941,2026-02-24 01:47:06
7,client1,263,22400,0.941,2026-02-24 01:47:07
7,client6,263,19600,0.941,2026-02-24 01:47:07
7,client2,263,22400,0.941,2026-02-24 01:47:07
7,client4,263,22400,0.941,2026-02-24 01:47:07
